#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3740.3655,-0.33329
3740.36574,-0.10057
3740.36694,-0.3937
3740.37194,0.31664
3740.38291,-0.38246
3740.38553,0.08318
3740.38625,-0.02286
3740.38863,-0.13579
3740.39078,-0.56165
3740.39197,0.1296
3740.39197,0.09554
3740.39555,-0.2509
3740.39698,0.02574
3740.40461,0.93675
3740.4089,0.13006
3740.41152,0.9122
3740.41534,1.26499
3740.41653,0.18034
3740.41939,0.12595
3740.42416,-0.12409
3740.42654,0.11868
3740.44442,0.12722
3740.45324,-0.61507
3740.45539,0.12944
3740.45754,-0.53719
3740.4592,0.12588
3740.4623,1.15868
3740.4666,-0.39678
3740.47065,-0.636
3740.47589,1.26236
3740.47971,0.11003
3740.48352,1.31073
3740.49091,-0.57421
3740.49187,0.11341
3740.49187,0.88851
